Outlet Name,Outlet Reach (Weekly),Outlet Reach (Monthly),Market,Media Type
KVRR (FOX),3171,3171,"Fargo, ND",TV
KVUE Online,143688.5,574754,"Austin, TX",Online
KVVU-LV (FOX),7253,29012,"Las Vegas, NV",TV
KVVU-TV,16291,16291,"Las Vegas, NV",TV
KWGN (CW),4177,4177,"Denver, CO",TV
KWQC-DAV (NBC),15398,15398,"Davenport, IA",TV
KXII (CBS),5817,5817,"Sherman, TX",TV
KXRM (FOX),4633,4633,"Colorado Springs, CO",TV
KXXV-TV Online,10191.5,40766,"Waco, TX",Online
KXXV-WAC (ABC),9271,9271,"Waco, TX",TV
La Calle TV,1000,4000,National,Online
La Crosse Tribune,21295,85180,"La Crosse, WI",Online
Lake Sun Leader Online,3792,15168,"Springfield, MO",Online
Larry Brown Sports,39378,157512,National,Online
Latin Times,17076.25,68305,National,Online
Leaf Chronicle,4405.5,17622,Local,Online
LIncoln Journal Star,19287,77148,"Concord, MA",Online
Live 365,26321.25,105285,"Foster City, CA",Online
Live 99.9,1000,4000,"Mishawaka, IN",Online
Livingston Daily,1000,4000,Local,Online
Los Angeles Times,4311176.75,17244707,"Los Angeles, CA",Online
Lubbock Avalanche Journal,13678.75,54715,"Luccock, TX",Online
M Live,1000,4000,"Detriot, MI",Online
Macon Telegraph,17323.5,69294,"Macon, GA",Online
Mansfield News Journal,8200.5,32802,Local,Online
Market Screener,131992.75,527971,National,Online
Marketing Dive,19342,77368,"Denver, CO",Online
Marketing Dive Newsletter,4000,4000,National,Trade
Mashed,209915.5,839662,National ,Online
Mass Live,255278,1021112,"Boston, MA",Online
MassLive,156323.5,625294,"Boston, MA",Online
Media Post,40377.75,161511,National,Online
MediaPost,61228,244912,National ,Online
Medium,10445791.75,41783167,National,Online
MEL Magazine,121571.5,486286,National ,Online
Merced Sun Star,6237.5,24950,"Fresno, CA",Online
Miami Herald,790187.75,3160751,"Miami, FL",Online
Mile High Sports,4786.5,19146,National,Online
Minuto USA,1000,4000,National,Online
Mix 94.1,1000,4000,"Las Vegas, NV",Online
Mlive,433672.5,1734690,"Flint, Michigan",Online
Mobile Marketer,10074,40296,National,Online
Monmouth Review Atlas,1000,4000,Monmouth,Online
Montana Standard,11239,44956,"Butte, MT",Online
Morning Brew,40000,40000,National,Online
Morning Hangover,8542,8542,National,Social
Morning Report,27465,27465,National,TV
MSN,17367686.25,69470745,National ,Online
Muse by Clio,11042.5,44170,National,Online
Music Row,5853,23412,National,Online
My NDY TV,5394,5394,"Indianapolis, IN",TV
Myrtle Meach Online,1000,4000,Myrtle Beach,Online
Narcity,434892.75,1739571,National,Online
NASDAQ,611761.75,2447047,National ,Online
Nash Country Daily,8145.75,32583,"Nashville, TN",Online
NBC 26,10255,41020,"Green Bay, WI",Online
NBC Sports,1133235.5,4532942,National,Online
NBC Sports Boston,1133235.5,4532942,National,TV
NBC Sports Network,39123,39123,National,TV
NBC Sports Philadelphia,1133235.5,4532942,"Philadelphia, PA",Online
NBC Sports Washington,1133235.5,4532942,"Washington, DC",Online
Neosho Daily News,1000,4000,"Neosho, MO",Online
NESN,184782.75,739131,National,Online
New Country 92.3,1000,4000,"St. Louis, MO",Online
New Country 96.3,1000,4000,"Arlington, TX",Online
New York Daily News,1179356.75,4717427,"New York, NY",Online
New York Post,5480471.75,21921887,National,Online
New York's Country 94.7,1000,4000,"New York, NY",Online
News 12 Bronx,10802.5,43210,"Bronx, NY",Online
News 12 Long Island,3635,3635,"New York, NY",TV
News 12 NJ,1000,1000,"Newark, NJ",TV
News 12 Westchester,31110.5,124442,"New York, NY",TV
News 4 Jax,227035.5,908142,"Jacksonville, FL",Online
News 4 Jax fb,539708,539708,"Jacksonville, FL",Social
News break,712287.5,2849150,National,Online
News Leader,1000,4000,Local,Online
News Magazine Pro,1000,4000,National ,Online
News Opener,1000,4000,National ,Online
News Star,13038.25,52153,Local,Online
News West 9 (KWES),7547,30188,"Midland, TX",Online
Newsbreak,4473.25,17893,National ,Online
News-Press,43920.75,175683,"Fort Meyers, FL",Online
Newsweek,3084222.5,12336890,National,Online
nfl,717857.25,2871429,National,Online
NFL Netowkr,19246,19246,National,TV
NFL Network,30788,30788,National,TV
NFL Total Access,63204,63204,National,TV
NFL.com,1578201,6312804,National,Online
NHL.com,759131.75,3036527,National,Online
NJ.com,568484.25,2273937,National,Online
Northwest Floriday Daily,22344.25,89377,"Pensacola, FL",Online
Northwest Indiana Times,1000,4000,"Greenville, IN",Online
NY1,13358,13358,"New York, NY",TV
Ocala Star Banner,18147,72588,"Ocala, FL",Online
Olean Times Herald,98878,395512,"Orlean, NY",Online
OLT News,1000,4000,National,Online
Omaha World Herald,140213.5,560854,"Omaha, NE",Online
One News Page,1000,4000,National,Online
Opry,17278.25,69113,National,Online
Orlando Sentinel,174707.5,698830,"Orlando, FL",Online
Outkick,75469.5,301878,National,Online
Pal Item,4400,17600,"Richmond, ID",Online
Palladium-Item,4400,17600,Local,Online
Patriots Wire - USA Today,17654.75,70619,National,Online
Penn Live,200699.5,802798,"Harrisburg, PA",Online
PennLive,404746.5,1618986,National ,Online
Pensacola News Jouranl,21620.75,86483,"Pensacola, FL",Online
People,1747500,6990000,National,Online
People en Espanol,78999,315996,National,Online
People Magazine,3411860,3411860,National,Magazine
PFT,274918.25,1099673,National,Online
PHIL17-tV,23132,23132,"Philadelphia, PA",TV
Pick Six NFL Podcast,50000,50000,National,Social
Pine Bluff Commercial,4018.25,16073,"Pine Bluff, AR",Online
Play Crazy Game,2541.25,10165,National,Online
Pop Culture,325973.5,1303894,National,Online
Popculture,425915.5,1703662,National,Online
Popsugar,978428.25,3913713,National ,Online
Poughkeepsie Journal,17131.25,68525,"Poughkeepsie, NY",Online
Power 106.9,4349.75,17399,"Los Angeles, CA",Online
Power 96,1000,4000,"Faribault, MN",Online
Power 96.1,1312,5248,"Atlanta, GA",Online
Press From,1000,4000,National,Online
Press-Citizen,1000,4000,Local,Online
Pride of Detriot,8888,35552,"Detriot, MI",Online
"Pro Football Talk, NBC Sports",274918.25,1099673,National,Online
Public Opinion,3546.75,14187,"Chambersburg, PA",Online
Pure Wow,282001,1128004,National ,Online
Radio Stream,1000,4000,National,Online
Radio.com,768452.25,3073809,National,Online
Razor Wisconsin,1000,4000,"Green Bay, WI",Online
Record Online,11236.75,44947,Local,Online
Refinery29,1134034.25,4536137,National ,Online
Remezcla,44124,176496,National,Online
Report Door,6161.25,24645,National,Online
Respect,4780.5,19122,National,Online
Respect Mag,3767.75,15071,National,Online
Restaurant Business,29246.25,116985,National,Online
Reuters,3286717,13146868,National ,Online
Roanoke Times,49837.5,199350,"Roanoke, VA",Online
Rock 292 Rock,1000,4000,Local,Online
Rocket News,1000,4000,Local,Online
Rolling Stone,1493676,5974704,National,Online
rrstar.com,13888.25,55553,"Rockford, IL",Online
Salina Journal,2973.25,11893,"Salina, KS",Online
Sarasota Herald Tribune,38862.25,155449,"Sarasota, FL",Online
Saturday Night Live,1974071,1974071,National ,TV
Savannah Morning News,16257.75,65031,"Savannah, GA",Online
SeaCoastonline,17822.75,71291,"Potsmouth, NH",Online
Seeking Alpha,984200.5,3936802,National,Online
Simplemost,94389,377556,National ,Online
SmartBrief,62557.25,250229,National,Online
Snart Brief,62557.25,250229,National,Online
SoBros Network,0,,National ,Online
South Coast Today,28270.5,113082,"Miami, FL",Online
Southwest Times Record,1000,4000,Local,Online
Spencer Dukoff IG,1126,1126,National ,Social
Sport Techie,5779.75,23119,National,Online
Sporting News,598640.75,2394563,National,Online
SportingNews,438808.75,1755235,National,Online
Sports Business Daily,17692,70768,National,Online
Sports Illustrated,804499.5,3217998,National,Online
Sports Illustrated fb,3137371,3137371,National,Social
SportsBusiness Daily,17692,70768,National,Online
Sportscasting,27897,111588,National,Online
Sportsnet,218694.75,874779,Canada,Online
Spot On Florida,1611,6444,"Jacksonville, FL",Online
Springfirned News leader,26899.75,107599,"Springfield, CT",Online
St. Louis Dispatch,349912.5,1399650,"St. Louis, MO",Online
St. Louis Post-Dispatch,349912.5,1399650,National ,Online
Star 1021,1000,4000,"Houston, TX",Online
Staten Island Live,70811.75,283247,"Staten Island, NY",Online
Statesman Journal,22411.75,89647,"Statesman, ID",Online
Steelers Depot,4349.5,17398,National,Online
Stephenville Empire-Tribune,1000,4000,"Stephensville, TX",Online
Storm Lake Radio,1000,4000,National,Online
Street Fight Mag,1000,4000,National,Online
SWX Online,1839.75,7359,"Spokane, WA",Online
Tampa Bay Times,459692.25,1838769,"Tampa Bay, FL",Online
Taste of Country,84026,336104,National,Online
Taste of Home,1778011.75,7112047,National ,Online
TeleRadio America,1000,4000,National,Online
The Apalach Times,1000,4000,Local,Online
The Baltimore Sun,256023.75,1024095,"Baltimore, MD",Online
The Bismark Tribune,1000,4000,"Bismark, SD",Online
The Boot,46114.5,184458,National,Online
The Bull 98.7,1000,4000,Local,Online
The Courier,1405.75,5623,"Lincoln, IL",Online
The Courier-Tribune,6816.25,27265,"Ashebor, NC",Online
The Daily Herald,8137.25,32549,"Nashville, TN",Online
The Daily Press,41263,165052,Local,Online
The Daily Record,8437.5,33750,"Wooster, OH",Online
The Daily Reporter,2598.75,10395,"Coldwater, MI",Online
The Denver Channel,142510.25,570041,"Denver, CO",Online
The Destin Log,1904.5,7618,"Destin, FL",Online
The Detroit News,170380.75,681523,"Detroit, MI",Online
The Drum,102698.5,410794,National,Online
The Epoch Times,483182.5,1932730,"Chicago, IL",Online
The Examiner,3146.5,12586,"Kansas City, MO",Online
The Fresno Bee,73910.25,295641,"Fresno, CA",Online
The Gadsden Times,5746.75,22987,"Gadsen, AL",Online
The Gaston Gazette,7305.25,29221,"Gastonia, NC",Online
The Hawk Eye,4919.75,19679,"Burlington, IA",Online
The Hype Magazine,3665.25,14661,National ,Online
The Island Packet,14708.5,58834,"Tampa, FL",Online
The Jaguard Wire fb,8466,8466,National,Social
The Mighty 790 (KFGO),1000,4000,"Fargo, ND",Radio
The Modesto Bee,21377.5,85510,"Modesto, CA",Online
